"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 21:49:46 EEST 2023","Tue Mar 28 21:49:47 EEST 2023","1572","","Smoketest suite","","","","First test",""
"passed","Tue Mar 28 21:37:32 EEST 2023","Tue Mar 28 21:37:34 EEST 2023","1615","","Smoketest suite","","","","First test",""
